#RIC,Date-Time,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,direction
GSK.L,2011-02-01T16:14:33.083448000Z,Quote,,,1144.5,9745,1145.5,7201,0
GSK.L,2011-02-01T16:14:33.083448000Z,Quote,,,1144.5,9745,1145.5,7601,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,8001,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,8561,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,10901,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,11437,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,15577,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,17172,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,9745,1145.5,22772,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,8745,1145.5,22772,0
GSK.L,2011-02-01T16:14:33.120935000Z,Quote,,,1144.5,8745,1145.5,22212,0
GSK.L,2011-02-01T16:14:33.129427000Z,Quote,,,1144.5,8155,1145.5,22212,0
GSK.L,2011-02-01T16:14:33.129427000Z,Quote,,,1144.5,8155,1145,3363,0
GSK.L,2011-02-01T16:14:33.129427000Z,Quote,,,1144.5,8155,1145,4163,0
GSK.L,2011-02-01T16:14:33.129427000Z,Quote,,,1144.5,11878,1145,4163,0
GSK.L,2011-02-01T16:14:33.129427000Z,Quote,,,1144.5,12078,1145,4163,0
GSK.L,2011-02-01T16:14:33.142728000Z,Quote,,,1144.5,12078,1145,3363,0
GSK.L,2011-02-01T16:14:33.142728000Z,Quote,,,1144.5,12078,1145,3963,0
GSK.L,2011-02-01T16:14:33.142728000Z,Quote,,,1144.5,11878,1145,3963,0
GSK.L,2011-02-01T16:14:33.142728000Z,Quote,,,1144.5,12468,1145,3963,0
GSK.L,2011-02-01T16:14:33.142728000Z,Quote,,,1144.5,12468,1145,4063,0
GSK.L,2011-02-01T16:14:33.142728000Z,Quote,,,1144.5,12468,1145,4653,0
GSK.L,2011-02-01T16:14:37.434049000Z,Quote,,,1144.5,12468,1145,5853,0
GSK.L,2011-02-01T16:14:37.621977000Z,Quote,,,1144.5,12468,1145,4653,0
GSK.L,2011-02-01T16:14:37.799491000Z,Quote,,,1144.5,12468,1145,5853,0
GSK.L,2011-02-01T16:14:37.997297000Z,Quote,,,1144.5,10312,1145,5853,0
GSK.L,2011-02-01T16:14:38.051455000Z,Quote,,,1144.5,10312,1145,4653,0
GSK.L,2011-02-01T16:14:38.051455000Z,Quote,,,1144.5,10312,1145,5853,0
GSK.L,2011-02-01T16:14:38.307301000Z,Quote,,,1144.5,11015,1145,5853,0
GSK.L,2011-02-01T16:14:39.446504000Z,Quote,,,1144.5,11015,1145,4653,0
GSK.L,2011-02-01T16:14:39.446504000Z,Quote,,,1144.5,11015,1145,5853,0
GSK.L,2011-02-01T16:14:41.693060000Z,Quote,,,1144.5,11015,1145,6875,0
GSK.L,2011-02-01T16:14:43.003833000Z,Quote,,,1144.5,11898,1145,6875,0
GSK.L,2011-02-01T16:14:44.743955000Z,Quote,,,1144.5,11638,1145,6615,0
GSK.L,2011-02-01T16:14:44.743955000Z,Trade,1145,260,1144.5,,1145,,1
GSK.L,2011-02-01T16:14:45.412627000Z,Quote,,,1144.5,11840,1145,6615,0
GSK.L,2011-02-01T16:14:46.418182000Z,Quote,,,1144.5,11840,1145,5415,0
GSK.L,2011-02-01T16:14:46.460296000Z,Quote,,,1144.5,11840,1145,4825,0
GSK.L,2011-02-01T16:14:46.653451000Z,Quote,,,1144.5,11840,1145,6025,0
GSK.L,2011-02-01T16:14:47.309467000Z,Quote,,,1144.5,11840,1145,4825,0
GSK.L,2011-02-01T16:14:47.449004000Z,Quote,,,1144.5,11840,1145,5415,0
GSK.L,2011-02-01T16:14:47.449004000Z,Quote,,,1144.5,11840,1145,6615,0
GSK.L,2011-02-01T16:14:47.554166000Z,Quote,,,1144.5,11840,1145,5415,0
GSK.L,2011-02-01T16:14:48.446939000Z,Trade,1144.5,338,1144.5,,1145,,-1
GSK.L,2011-02-01T16:14:48.446939000Z,Quote,,,1144.5,11502,1145,5415,0
GSK.L,2011-02-01T16:14:48.480876000Z,Quote,,,1144.5,11502,1145,6615,0
GSK.L,2011-02-01T16:14:48.480876000Z,Quote,,,1144.5,11172,1145,6615,0
GSK.L,2011-02-01T16:14:48.480876000Z,Quote,,,1144.5,11172,1145,6945,0
GSK.L,2011-02-01T16:14:49.189828000Z,Quote,,,1144.5,11172,1145,7715,0
GSK.L,2011-02-01T16:14:51.014488000Z,Quote,,,1144.5,11172,1145,7385,0
GSK.L,2011-02-01T16:14:53.431924000Z,Trade,1145.4,77,1144.5,,1145,,1
GSK.L,2011-02-01T16:14:54.116401000Z,Quote,,,1144.5,11172,1145,6795,0
GSK.L,2011-02-01T16:14:54.116401000Z,Quote,,,1144.5,11172,1145,5595,0
GSK.L,2011-02-01T16:14:54.127126000Z,Quote,,,1144.5,11502,1145,5595,0
GSK.L,2011-02-01T16:14:55.162498000Z,Quote,,,1144.5,11502,1145,6795,0
GSK.L,2011-02-01T16:14:56.628773000Z,Quote,,,1144.5,11502,1145,6695,0
GSK.L,2011-02-01T16:14:58.642928000Z,Quote,,,1144.5,11502,1145,7285,0
GSK.L,2011-02-01T16:14:59.666338000Z,Quote,,,1144.5,11502,1145,15303,0
GSK.L,2011-02-01T16:14:59.695213000Z,Quote,,,1144.5,11172,1145,15303,0
GSK.L,2011-02-01T16:15:07.793451000Z,Quote,,,1144.5,11315,1145,15303,0
GSK.L,2011-02-01T16:15:08.151944000Z,Quote,,,1144.5,10315,1145,15303,0
GSK.L,2011-02-01T16:15:16.875513000Z,Quote,,,1144.5,10315,1145,16758,0
GSK.L,2011-02-01T16:15:17.487661000Z,Quote,,,1144.5,10315,1145,17088,0
GSK.L,2011-02-01T16:15:18.180993000Z,Quote,,,1144.5,10315,1145,17791,0
GSK.L,2011-02-01T16:15:19.681657000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:21.342757000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:21.445691000Z,Quote,,,1144.5,10581,1145,16001,0
GSK.L,2011-02-01T16:15:21.784338000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:21.784338000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:22.042996000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:22.785335000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:22.785335000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:22.842705000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:23.627687000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:23.627687000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:24.110758000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:25.629840000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:25.937109000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:27.394255000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:28.092705000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:28.287162000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:28.287162000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:29.022660000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:29.348408000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:29.348408000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:29.348408000Z,Quote,,,1144.5,10581,1145,16591,0
GSK.L,2011-02-01T16:15:29.456062000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:32.160050000Z,Quote,,,1144.5,10031,1145,17791,0
GSK.L,2011-02-01T16:15:32.421909000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:36.990388000Z,Quote,,,1144.5,10031,1145,17791,0
GSK.L,2011-02-01T16:15:37.353369000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:37.412677000Z,Quote,,,1144.5,10031,1145,17791,0
GSK.L,2011-02-01T16:15:37.536323000Z,Quote,,,1144.5,10581,1145,17791,0
GSK.L,2011-02-01T16:15:40.168006000Z,Quote,,,1144.5,10581,1145,17724,0
GSK.L,2011-02-01T16:15:41.935712000Z,Trade,1145,312,1144.5,,1145,,1
GSK.L,2011-02-01T16:15:41.935712000Z,Quote,,,1144.5,10581,1145,17412,0
GSK.L,2011-02-01T16:15:41.988964000Z,Quote,,,1144.5,10581,1145,17082,0
GSK.L,2011-02-01T16:15:41.988964000Z,Quote,,,1144.5,10911,1145,17082,0
GSK.L,2011-02-01T16:15:47.073320000Z,Quote,,,1144.5,10581,1145,17082,0
GSK.L,2011-02-01T16:15:48.196925000Z,Quote,,,1144.5,10031,1145,17082,0
GSK.L,2011-02-01T16:15:48.531926000Z,Quote,,,1144.5,10581,1145,17082,0
GSK.L,2011-02-01T16:15:51.144528000Z,Quote,,,1144.5,10031,1145,17082,0
GSK.L,2011-02-01T16:15:51.549874000Z,Quote,,,1144.5,10581,1145,17082,0
GSK.L,2011-02-01T16:15:52.289169000Z,Quote,,,1144.5,10735,1145,17082,0
GSK.L,2011-02-01T16:15:52.369253000Z,Quote,,,1144.5,10995,1145,17082,0
GSK.L,2011-02-01T16:15:55.477235000Z,Quote,,,1144.5,10995,1145,15882,0
GSK.L,2011-02-01T16:15:55.597314000Z,Quote,,,1144.5,10995,1145,17082,0
GSK.L,2011-02-01T16:15:57.122845000Z,Quote,,,1144.5,10995,1145,15882,0
GSK.L,2011-02-01T16:15:57.306071000Z,Quote,,,1144.5,10995,1145,17082,0
GSK.L,2011-02-01T16:15:58.092130000Z,Quote,,,1144.5,10995,1145,15882,0
GSK.L,2011-02-01T16:15:58.147816000Z,Quote,,,1144.5,10995,1145,17082,0
GSK.L,2011-02-01T16:15:58.182834000Z,Quote,,,1144.5,10995,1145,15882,0
GSK.L,2011-02-01T16:15:58.182834000Z,Quote,,,1144.5,10995,1145,17082,0
GSK.L,2011-02-01T16:15:58.188495000Z,Quote,,,1144.5,10995,1145,15882,0
GSK.L,2011-02-01T16:15:58.234393000Z,Quote,,,1144.5,10995,1145,17082,0
GSK.L,2011-02-01T16:15:58.347924000Z,Quote,,,1144.5,10995,1145,15882,0
GSK.L,2011-02-01T16:15:58.416896000Z,Quote,,,1144.5,10195,1145,15882,0
GSK.L,2011-02-01T16:16:00.017117000Z,Quote,,,1144.5,10195,1145,16421,0
GSK.L,2011-02-01T16:16:00.904945000Z,Quote,,,1144.5,12195,1145,16421,0
GSK.L,2011-02-01T16:16:00.913235000Z,Quote,,,1144.5,12195,1145,18121,0
GSK.L,2011-02-01T16:16:05.119018000Z,Quote,,,1144.5,12195,1145,18451,0
GSK.L,2011-02-01T16:16:07.375244000Z,Quote,,,1144.5,12195,1145,15660,0
GSK.L,2011-02-01T16:16:07.375314000Z,Quote,,,1144.5,12195,1145,16060,0
GSK.L,2011-02-01T16:16:07.375314000Z,Quote,,,1144.5,12195,1145,16460,0
GSK.L,2011-02-01T16:16:07.375314000Z,Quote,,,1144.5,11795,1145,16460,0
GSK.L,2011-02-01T16:16:07.413137000Z,Quote,,,1144.5,14984,1145,16460,0
GSK.L,2011-02-01T16:16:08.846363000Z,Quote,,,1144.5,14984,1145,16130,0
GSK.L,2011-02-01T16:16:09.884616000Z,Quote,,,1144.5,14984,1145,18993,0
GSK.L,2011-02-01T16:16:10.727076000Z,Quote,,,1144.5,15425,1145,18993,0
GSK.L,2011-02-01T16:16:11.960101000Z,Quote,,,1144.5,16755,1145,18993,0
GSK.L,2011-02-01T16:16:14.410945000Z,Trade,1144.913,1746,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:14.699919000Z,Trade,1144.75,94,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:15.277144000Z,Quote,,,1144.5,16755,1145,19021,0
